timestamp,wheel_rpm,speed,distance
2025-06-05T16:14:10Z,426.63,80.42,22.34
2025-06-05T16:14:11Z,419.07,78.99,21.94
2025-06-05T16:14:12Z,415.49,78.32,21.76
2025-06-05T16:14:13Z,411.09,77.49,21.52
2025-06-05T16:14:14Z,414.85,78.2,21.72
2025-06-05T16:14:15Z,417.66,78.73,21.87
2025-06-05T16:14:16Z,423.9,79.9,22.2
2025-06-05T16:14:17Z,417.33,78.66,21.85
2025-06-05T16:14:18Z,416.09,78.43,21.79
2025-06-05T16:14:19Z,408.6,77.02,21.39
2025-06-05T16:14:20Z,404.13,76.18,21.16
2025-06-05T16:14:21Z,404.21,76.19,21.16
2025-06-05T16:14:22Z,396.68,74.77,20.77
2025-06-05T16:14:23Z,391.88,73.87,20.52
2025-06-05T16:14:24Z,394.27,74.32,20.64
2025-06-05T16:14:25Z,394.98,74.45,20.68
2025-06-05T16:14:26Z,390.53,73.61,20.45
2025-06-05T16:14:27Z,391.95,73.88,20.52
2025-06-05T16:14:28Z,396.88,74.81,20.78
2025-06-05T16:14:29Z,389.03,73.33,20.37
2025-06-05T16:14:30Z,393.89,74.25,20.62
2025-06-05T16:14:31Z,397.05,74.84,20.79
2025-06-05T16:14:32Z,394.5,74.36,20.66
2025-06-05T16:14:33Z,389.02,73.33,20.37
2025-06-05T16:14:34Z,396.3,74.7,20.75
2025-06-05T16:14:35Z,393.7,74.21,20.61
2025-06-05T16:14:36Z,387.21,72.99,20.27
2025-06-05T16:14:37Z,380.8,71.78,19.94
2025-06-05T16:14:38Z,386.33,72.82,20.23
2025-06-05T16:14:39Z,387.98,73.13,20.31
2025-06-05T16:14:40Z,392.87,74.05,20.57
2025-06-05T16:14:41Z,396.52,74.74,20.76
2025-06-05T16:14:42Z,397.1,74.85,20.79
2025-06-05T16:14:43Z,404.63,76.27,21.19
2025-06-05T16:14:44Z,402.7,75.91,21.09
2025-06-05T16:14:45Z,403.52,76.06,21.13
2025-06-05T16:14:46Z,408.77,77.05,21.4
2025-06-05T16:14:47Z,410.65,77.41,21.5
2025-06-05T16:14:48Z,416.41,78.49,21.8
2025-06-05T16:14:49Z,417.64,78.72,21.87
2025-06-05T16:14:50Z,420.9,79.34,22.04
2025-06-05T16:14:51Z,413.67,77.97,21.66
2025-06-05T16:14:52Z,409.34,77.16,21.43
2025-06-05T16:14:53Z,405.99,76.53,21.26
2025-06-05T16:14:54Z,399.3,75.27,20.91
2025-06-05T16:14:55Z,395.04,74.46,20.68
2025-06-05T16:14:56Z,388.69,73.27,20.35
2025-06-05T16:14:57Z,385.16,72.6,20.17
2025-06-05T16:14:58Z,387.32,73.01,20.28
2025-06-05T16:14:59Z,385.17,72.6,20.17
2025-06-05T16:15:00Z,383.1,72.21,20.06
2025-06-05T16:15:01Z,378.48,71.34,19.82
2025-06-05T16:15:02Z,374.77,70.64,19.62
2025-06-05T16:15:03Z,381.72,71.95,19.99
2025-06-05T16:15:04Z,384.08,72.4,20.11
2025-06-05T16:15:05Z,385.81,72.72,20.2
2025-06-05T16:15:06Z,380.58,71.74,19.93
2025-06-05T16:15:07Z,384.23,72.42,20.12
2025-06-05T16:15:08Z,378.87,71.42,19.84
2025-06-05T16:15:09Z,376.95,71.05,19.74
2025-06-05T16:15:10Z,384.74,72.52,20.15
2025-06-05T16:15:11Z,386.97,72.94,20.26
2025-06-05T16:15:12Z,387.88,73.11,20.31
2025-06-05T16:15:13Z,390.81,73.67,20.46
2025-06-05T16:15:14Z,396.27,74.7,20.75
2025-06-05T16:15:15Z,400.66,75.52,20.98
2025-06-05T16:15:16Z,396.35,74.71,20.75
2025-06-05T16:15:17Z,388.9,73.31,20.36
2025-06-05T16:15:18Z,385.97,72.75,20.21
2025-06-05T16:15:19Z,382.27,72.06,20.02
2025-06-05T16:15:20Z,377.67,71.19,19.77
2025-06-05T16:15:21Z,384.72,72.52,20.14
2025-06-05T16:15:22Z,390.71,73.65,20.46
2025-06-05T16:15:23Z,387.76,73.09,20.3
2025-06-05T16:15:24Z,390.23,73.56,20.43
2025-06-05T16:15:25Z,388.57,73.24,20.35
2025-06-05T16:15:26Z,395.17,74.49,20.69
2025-06-05T16:15:27Z,394.52,74.36,20.66
2025-06-05T16:15:28Z,390.77,73.66,20.46
2025-06-05T16:15:29Z,386.74,72.9,20.25
2025-06-05T16:15:30Z,387.72,73.08,20.3
2025-06-05T16:15:31Z,383.94,72.37,20.1
2025-06-05T16:15:32Z,385.29,72.63,20.17
2025-06-05T16:15:33Z,391.62,73.82,20.51
2025-06-05T16:15:34Z,390.02,73.52,20.42
2025-06-05T16:15:35Z,385.55,72.67,20.19
2025-06-05T16:15:36Z,393.47,74.17,20.6
2025-06-05T16:15:37Z,393.62,74.2,20.61
2025-06-05T16:15:38Z,387.11,72.97,20.27
2025-06-05T16:15:39Z,379.9,71.61,19.89
2025-06-05T16:15:40Z,373.69,70.44,19.57
2025-06-05T16:15:41Z,375.72,70.82,19.67
2025-06-05T16:15:42Z,380.37,71.7,19.92
2025-06-05T16:15:43Z,379.13,71.46,19.85
2025-06-05T16:15:44Z,372.18,70.15,19.49
2025-06-05T16:15:45Z,370.3,69.8,19.39
2025-06-05T16:15:46Z,378.19,71.29,19.8
2025-06-05T16:15:47Z,378.66,71.38,19.83
2025-06-05T16:15:48Z,386.15,72.79,20.22
2025-06-05T16:15:49Z,391.9,73.87,20.52
2025-06-05T16:15:50Z,384.12,72.41,20.11
2025-06-05T16:15:51Z,387.63,73.07,20.3
2025-06-05T16:15:52Z,390.53,73.61,20.45
2025-06-05T16:15:53Z,391.11,73.72,20.48
2025-06-05T16:15:54Z,387.4,73.02,20.28
2025-06-05T16:15:55Z,389.65,73.45,20.4
2025-06-05T16:15:56Z,383.46,72.28,20.08
2025-06-05T16:15:57Z,382.43,72.09,20.02
2025-06-05T16:15:58Z,381.69,71.95,19.99
2025-06-05T16:15:59Z,388.91,73.31,20.36
2025-06-05T16:16:00Z,394.89,74.44,20.68
2025-06-05T16:16:01Z,391.13,73.73,20.48
2025-06-05T16:16:02Z,391.14,73.73,20.48
2025-06-05T16:16:03Z,386.02,72.76,20.21
2025-06-05T16:16:04Z,392.59,74.0,20.56
2025-06-05T16:16:05Z,398.49,75.11,20.86
2025-06-05T16:16:06Z,395.28,74.51,20.7
2025-06-05T16:16:07Z,397.49,74.93,20.81
2025-06-05T16:16:08Z,399.23,75.25,20.9
2025-06-05T16:16:09Z,393.7,74.21,20.61
2025-06-05T16:16:10Z,397.88,75.0,20.83
2025-06-05T16:16:11Z,398.51,75.12,20.87
2025-06-05T16:16:12Z,402.94,75.95,21.1
2025-06-05T16:16:13Z,403.42,76.04,21.12
2025-06-05T16:16:14Z,395.47,74.55,20.71
2025-06-05T16:16:15Z,392.68,74.02,20.56
2025-06-05T16:16:16Z,385.03,72.58,20.16
2025-06-05T16:16:17Z,391.86,73.86,20.52
2025-06-05T16:16:18Z,397.88,75.0,20.83
2025-06-05T16:16:19Z,403.16,75.99,21.11
2025-06-05T16:16:20Z,400.1,75.42,20.95
2025-06-05T16:16:21Z,393.06,74.09,20.58
2025-06-05T16:16:22Z,399.08,75.22,20.9
2025-06-05T16:16:23Z,406.19,76.57,21.27
2025-06-05T16:16:24Z,399.6,75.32,20.92
2025-06-05T16:16:25Z,399.38,75.28,20.91
2025-06-05T16:16:26Z,392.52,73.99,20.55
2025-06-05T16:16:27Z,396.67,74.77,20.77
2025-06-05T16:16:28Z,400.9,75.57,20.99
2025-06-05T16:16:29Z,394.98,74.45,20.68
2025-06-05T16:16:30Z,394.59,74.38,20.66
2025-06-05T16:16:31Z,395.38,74.53,20.7
2025-06-05T16:16:32Z,391.64,73.82,20.51
2025-06-05T16:16:33Z,397.57,74.94,20.82
2025-06-05T16:16:34Z,396.35,74.71,20.75
2025-06-05T16:16:35Z,391.76,73.85,20.51
2025-06-05T16:16:36Z,392.39,73.96,20.55
2025-06-05T16:16:37Z,396.05,74.65,20.74
2025-06-05T16:16:38Z,391.29,73.76,20.49
2025-06-05T16:16:39Z,388.29,73.19,20.33
2025-06-05T16:16:40Z,396.17,74.68,20.74
2025-06-05T16:16:41Z,398.56,75.13,20.87
2025-06-05T16:16:42Z,397.57,74.94,20.82
2025-06-05T16:16:43Z,397.85,74.99,20.83
2025-06-05T16:16:44Z,391.82,73.86,20.52
2025-06-05T16:16:45Z,387.44,73.03,20.29
2025-06-05T16:16:46Z,384.86,72.55,20.15
2025-06-05T16:16:47Z,386.27,72.81,20.22
2025-06-05T16:16:48Z,381.97,72.0,20.0
2025-06-05T16:16:49Z,377.52,71.16,19.77
2025-06-05T16:16:50Z,370.69,69.87,19.41
2025-06-05T16:16:51Z,372.78,70.27,19.52
2025-06-05T16:16:52Z,368.47,69.45,19.29
2025-06-05T16:16:53Z,374.92,70.67,19.63
2025-06-05T16:16:54Z,380.64,71.75,19.93
2025-06-05T16:16:55Z,373.81,70.46,19.57
2025-06-05T16:16:56Z,369.64,69.68,19.35
2025-06-05T16:16:57Z,372.33,70.18,19.5
2025-06-05T16:16:58Z,367.78,69.33,19.26
2025-06-05T16:16:59Z,361.93,68.22,18.95
2025-06-05T16:17:00Z,368.86,69.53,19.31
2025-06-05T16:17:01Z,369.99,69.74,19.37
2025-06-05T16:17:02Z,369.56,69.66,19.35
2025-06-05T16:17:03Z,374.09,70.51,19.59
